track_id,track_name,album,artist_names,primary_artist_id,genres_raw,bucket
6XGDIzrrXRojovPQf0cjYt,Heaven Is A Place On Earth,On The Cover II,MxPx,1cSpfa4Un4NCOzeOKgGtG9,punk; skate punk; pop-punk; ska punk; ska; melodic hardcore,pop-punk
4Z4xFENnvMnRDPpAx5wpaO,Come on Eileen,It Means Everything,Save Ferris,1PAi6SNPtaiFqTRiTfecFr,ska; ska punk,punk
0rOTMSSa6yscfOrGnzfheM,99 Red Balloons,Stomping Ground,Goldfinger,7sVQKNtdP2NylxMgbNOJMM,ska punk; ska; skate punk; punk; pop-punk,pop-punk
7EFTpeFSSgazhNOQhVke1B,I Melt With You,Punk Goes 80's,Sugarcult,04RtvnUz0XrUbUZzOA8ZoW,pop-punk; punk; emo,pop-punk
4z03v8DF4bBKv1pGvwPpD1,Some Things,Some Things,Nevertel,0uTkKGuqdf7CtKlZLt9N0Y,metalcore,metal
6ivqjAUoBPu03ZA1XpOJbk,Date With Death,Date With Death,Fall To Pieces,2WRavyZrFClZuCdi5v5OSu,,other
46XVOBgk5LSCnQ2tPaoOrA,honestly i,Take What You Want,Yellowcard,3zxKH0qp3nBCuPZCZT5Vaf,pop-punk; punk; emo,pop-punk
1qZ9jk6dXMguDW5rVtxLFe,Better Days,Take What You Want,Yellowcard,3zxKH0qp3nBCuPZCZT5Vaf,pop-punk; punk; emo,pop-punk
00u5kDzvaEAOFBLhUQWFx5,Take What You Want,Take What You Want,Yellowcard,3zxKH0qp3nBCuPZCZT5Vaf,pop-punk; punk; emo,pop-punk
2iA70Q4RrgppK7alU8D2gn,honestly i,Better Days,Yellowcard,3zxKH0qp3nBCuPZCZT5Vaf,pop-punk; punk; emo,pop-punk
6UVloUHHB37ovcjMZKaT8H,Better Safe & Sorry,Better Safe and Sorry,Millington,674oSgXMvyLNHMGQKHcUpp,ska punk; ska; pop-punk,pop-punk
7bVMXc9gkWWCh9owLlMnIT,Landslide,Better Safe and Sorry,Millington,674oSgXMvyLNHMGQKHcUpp,ska punk; ska; pop-punk,pop-punk
56v9xVrNWchhJVxd0p7kSe,Fade Out,Better Safe and Sorry,Millington,674oSgXMvyLNHMGQKHcUpp,ska punk; ska; pop-punk,pop-punk
6vQeBfjDP54mUoTmXKBxrq,RADIO,Better Safe and Sorry,Millington,674oSgXMvyLNHMGQKHcUpp,ska punk; ska; pop-punk,pop-punk
1Ya6mV2FHoOd8h5UCmPcN5,Summer Disease,Better Safe and Sorry,Millington,674oSgXMvyLNHMGQKHcUpp,ska punk; ska; pop-punk,pop-punk
3kBMolsA3w2SBLuZZdEwu5,Blame Me First,Blame Me First,Brian Staples,1NzyirKkB1F9tGuR8iRqos,gospel; rhythm and blues; soul,blues
1dZ2ASCkbC3b1GjrggPw35,Reaper,Reaper,Braeker,7fGRdpiX855x7RBK8DjT1F,,other
5dmfuSFXKbYoFJ3AzhxwIn,FML,Better Safe and Sorry,Millington,674oSgXMvyLNHMGQKHcUpp,ska punk; ska; pop-punk,pop-punk
4v4BYDxzFynMN0FAXKIL6V,Under My Skin,Under My Skin,Ash to Eden,5KlBi01OWLrjDZJKBFtPkd,alternative rock; britpop; indie-rock; pop-punk; post-britpop; power pop,pop-punk
4stlvMMftU1rkS5onjmB38,Lose Control,Lose Control,Our Last Night,00YTqRClk82aMchQQpYMd5,post-hardcore; metalcore,metal
45beGQs001EnGqpTODjqTX,Pink Pony Club,Pink Pony Club,Lauren Babic,6nT7RjBCuuggrafnb43vUX,metal; metalcore; rock,metal
5SRbG2SrW1RQJAQb1Y8Yzv,Rotten Apple,Rotten Apple,Fall To Pieces,2WRavyZrFClZuCdi5v5OSu,,other
66Ceo7qZOyyX3J8AUsT2Vt,Can't Help Falling In Love,Can't Help Falling In Love,Ice Nine Kills,52qKfVcIV4GS8A8Vay2xtt,metalcore; metal,metal
7Bj0jhB0RLzlG7M3rhUBE8,Living Dead For A Paycheck,Living Dead For A Paycheck,The Transits,2BSRzROxZgCOIrJ9HGD6Xd,pop-punk,pop-punk
4azP6Ww8SsFb7CC1oP9xUe,Breakdown for Breakfast,Breakdown for Breakfast,"Schmemes, katie drives",0UgZFJbm4rTUw8gRCfOqT9,,other
2wVWwNWdKiG1inw7jbxJJN,Pete Wentz Doesn't Know The Name Of Our Band,Pete Wentz Doesn't Know The Name Of Our Band,"Shower Beers, We Demand Parachutes",2BqzLQpdT9kG6PcLEc80cg,pop-punk,pop-punk
2qvawMmCf09g1EVE1RW9NC,Used To Be Young,Used To Be Young,"Free Friends, Ben DeHan, Jack The Underdog",4sWKMQMxKMdfZNWsozaGNZ,pop-punk,pop-punk
3I09R9N2WwbP0B1SExxkWq,Rejects,Rejects,Good Charlotte,5aYyPjAsLj7UzANzdupwnS,pop-punk; punk; emo,pop-punk
7KCys2kYLxdPF8OVLyNXMF,A Work of Art (feat. Shavo of System of a Down),The Great Unknown,"Ice Nine Kills, SHAVO",52qKfVcIV4GS8A8Vay2xtt,metalcore; metal,metal
76Pd81B06OSC8AuuDWxsEQ,The Great Unknown,The Great Unknown,Ice Nine Kills,52qKfVcIV4GS8A8Vay2xtt,metalcore; metal,metal
6vgeVoI1aqygSvlhqqs2Tn,Blood Runs Cold,Rain City Drive,Rain City Drive,4rMxZovfLSDjEL9eI2pKo7,post-hardcore; metalcore,metal
12DbW4HXMeMsficT3sSD6T,Pink Pony Club,Pink Pony Club,Morning in May,3UULburonGvlXaqlMuUrak,,other
2GqErXeaEUrFzlPs1S1SFW,I'd Hate To Be You When People Find Out What This Song Is About,A Lesson In Romantics,Mayday Parade,3WfJ1OtrWI7RViX9DMyEGy,pop-punk; emo,pop-punk
1wVriKkwEG9veA5lhphOZE,"If You Wanted A Song Written About You, All You Had To Do Was Ask",A Lesson In Romantics,Mayday Parade,3WfJ1OtrWI7RViX9DMyEGy,pop-punk; emo,pop-punk
1iKjPM2YygFxUqjUakAI4n,Can't Kick Up The Roots,Life's Not Out To Get You,Neck Deep,2TM0qnbJH4QPhGMCdPt7fH,pop-punk; punk; emo,pop-punk
2UVY6DZVBuGUKWKqKqJsbB,Skyway Avenue,We The Kings,We The Kings,3ao3jf5d70Tf4fPh2bnXVl,pop-punk,pop-punk
7N2PNxzZXxCdAHiAfsklhT,"Check Yes, Juliet",We The Kings,We The Kings,3ao3jf5d70Tf4fPh2bnXVl,pop-punk,pop-punk
7tYKa4wd7gL5LwcxidBPkG,Sad Song - feat. Elena Coats,Somewhere Somehow,"We The Kings, Elena Coats",3ao3jf5d70Tf4fPh2bnXVl,pop-punk,pop-punk
6XbmIuDxm4gWpVYoGg5DQX,Where I Belong (feat. We The Kings),Where I Belong (feat. We The Kings),"Simple Plan, State Champs, We The Kings",2p4FqHnazRucYQHyDCdBrJ,pop-punk; punk; emo; acoustic pop,pop-punk
3LVdtz2Snhw5riAZ3qWZrp,Grow Up,"No Pads, No Helmets...Just Balls (15th Anniversary Tour Edition)",Simple Plan,2p4FqHnazRucYQHyDCdBrJ,pop-punk; punk; emo,pop-punk
